ID	Name	Examine
0	Dwarf remains	The body of a Dwarf savaged by Goblins.
1	Tool kit	These could be handy.
2	Cannonball	Ammo for the Dwarf Cannon.
3	Nulodion's notes	Construction notes for Dwarf cannon ammo.
4	Ammo mould	Used to make cannon ammunition.
5	Instruction manual	An old note book.
6	Cannon base	The cannon is built on this.
7		
8	Cannon stand	The mounting for the multicannon.
9		
10	Cannon barrels	The barrels of the multicannon.
11		
12	Cannon furnace	This powers the multicannon.
13		
14	Railing	A metal railing replacement.
15	Holy table napkin	A cloth given to me by Sir Galahad.
16	Magic whistle	A small tin whistle.
17	Grail bell	I wonder what happens when I ring it?
18	Magic gold feather	It will point the way for me.
19	Holy grail	A holy and powerful artefact.
20	Cog	A cog from some machinery.
21	Cog	A cog from some machinery.
22	Cog	A cog from some machinery.
23	Cog	A cog from some machinery.
24	Rat poison	Doesn't look very tasty.
25	Red vine worm	Wormy.
26	Fishing trophy	Hemenster fishing contest trophy.
27	Fishing pass	Pass to the Hemenster fishing contest.
28	Insect repellent	Drives away all known 6 legged creatures.
29		
30	Bucket of wax	It's a bucket of wax.
31		
32	Lit black candle	A lit spooky candle.
33	Lit candle	A lit candle.
34	Lit candle	A lit candle.
35	Excalibur	This used to belong to King Arthur.
36	Candle	A candle.
37		
38	Black candle	A spooky candle.
39	Bronze arrowtips	I can make an arrow with these.
40	Iron arrowtips	I can make an arrow with these.
41	Steel arrowtips	I can make an arrow with these.
42	Mithril arrowtips	I can make an arrow with these.
43	Adamant arrowtips	I can make an arrow with these.
44	Rune arrowtips	I can make an arrow with these.
45	Opal bolttips	I can make bolts with these.
46	Pearl bolttips	I can make bolts with these.
47	Barb bolttips	I can make bolts with these.
48	Longbow (u)	I need to find a string for this.
49		
50	Shortbow (u)	I need to find a string for this.
51		
52	Arrow shaft	A wooden arrow shaft.
53	Headless arrow	A wooden arrow shaft with flights attached.
54	Oak shortbow (u)	An unstrung oak shortbow, I need a bowstring for this.
55		
56	Oak longbow (u)	An unstrung oak longbow, I need a bowstring for this.
57		
58	Willow longbow (u)	An unstrung willow longbow, I need a bowstring for this.
59		
60	Willow shortbow (u)	An unstrung willow shortbow, I need a bowstring for this.
61		
62	Maple longbow (u)	An unstrung maple longbow, I need a bowstring for this.
63		
64	Maple shortbow (u)	An unstrung maple shortbow, I need a bowstring for this.
65		
66	Yew longbow (u)	An unstrung yew longbow, I need a bowstring for this.
67		
68	Yew shortbow (u)	An unstrung yew shortbow, I need a bowstring for this.
69		
70	Magic longbow (u)	An unstrung magic longbow, I need a bowstring for this.
71		
72	Magic shortbow (u)	An unstrung magic shortbow, I need a bowstring for this.
73		
74	Khazard helmet	A helmet, as worn by the minions of General Khazard.
75	Khazard armour	Armour, as worn by the minions of General Khazard.
76	Khazard cell keys	These keys open the cells at the Khazard fight arena.
77	Khali brew	A bottle of Khazard's worst brew.
78	Ice arrows	Can only be fired with yew or magic bows.
79		
80		
81		
82		
83	Lever	A lever to open something perhaps?
84	Staff of armadyl	The power in this staff causes it to vibrate gently.
85	Shiny key	It catches the light!
86	Pendant of lucien	The amulet that Lucien gave you.
87	Armadyl pendant	Yet another amulet.
88	Boots of lightness	Magic boots that make you lighter than normal.
89	Boots of lightness	Magic boots that make you lighter than normal.
90	Child's blanket	It's very soft!
91	Unfinished potion	I need another ingredient to finish this Guam potion.
92		
93	Unfinished potion	I need another ingredient to finish this Marrentill potion.
94		
95	Unfinished potion	I need another ingredient to finish this Tarromin potion.
96		
97	Unfinished potion	I need another ingredient to finish this Harralander potion.
98		
99	Unfinished potion	I need another ingredient to finish this Ranarr potion.
100		
101	Unfinished potion	I need another ingredient to finish this Irit potion.
102		
103	Unfinished potion	I need another ingredient to finish this Avantoe potion.
104		
105	Unfinished potion	I need another ingredient to finish this Kwuarm potion.
106		
107	Unfinished potion	I need another ingredient to finish this Cadantine potion.
108		
109	Unfinished potion	I need another ingredient to finish this Dwarf Weed potion.
110		
111	Unfinished potion	I need another ingredient to finish this Torstol potion.
112		
113	Strength potion(4)	4 doses of strength potion.
114		
115	Strength potion(3)	3 doses of strength potion.
116		
117	Strength potion(2)	2 doses of strength potion.
118		
119	Strength potion(1)	1 dose of strength potion.
120		
121	Attack potion(3)	3 doses of attack potion.
122		
123	Attack potion(2)	2 doses of attack potion.
124		
125	Attack potion(1)	1 dose of attack potion.
126		
127	Restore potion(3)	3 doses of stat restoration potion.
128		
129	Restore potion(2)	2 doses of stat restoration potion.
130		
131	Restore potion(1)	1 dose of stat restoration potion.
132		
133	Defence potion(3)	3 doses of defence potion.
134		
135	Defence potion(2)	2 doses of defence potion.
136		
137	Defence potion(1)	1 dose of defence potion.
138		
139	Prayer potion(3)	3 doses of restore prayer potion.
140		
141	Prayer potion(2)	2 doses of restore prayer potion.
142		
143	Prayer potion(1)	1 dose of restore prayer potion.
144		
145	Super attack(3)	3 doses of super attack potion.
146		
147	Super attack(2)	2 doses of super attack potion.
148		
149	Super attack(1)	1 dose of super attack potion.
150		
151	Fishing potion(3)	3 doses of fishing potion.
152		
153	Fishing potion(2)	2 doses of fishing potion.
154		
155	Fishing potion(1)	1 dose of fishing potion.
156		
157	Super strength(3)	3 doses of super strength potion.
158		
159	Super strength(2)	2 doses of super strength potion.
160		
161	Super strength(1)	1 dose of super strength potion.
162		
163	Super defence(3)	3 doses of super defence potion.
164		
165	Super defence(2)	2 doses of super defence potion.
166		
167	Super defence(1)	1 dose of super defence potion.
168		
169	Ranging potion(3)	3 doses of ranging potion.
170		
171	Ranging potion(2)	2 doses of ranging potion.
172		
173	Ranging potion(1)	1 dose of ranging potion.
174		
175	Antipoison(3)	3 doses of antipoison potion.
176		
177	Antipoison(2)	2 doses of antipoison potion.
178		
179	Antipoison(1)	1 dose of antipoison potion.
180		
181	Superantipoison(3)	3 doses of super antipoison potion.
182		
183	Superantipoison(2)	2 doses of super antipoison potion.
184		
185	Superantipoison(1)	1 dose of super antipoison potion.
186		
187	Weapon poison	For use on daggers and projectiles.
188		
189	Zamorak brew(3)	3 doses of Zamorak Brew.
190		
191	Zamorak brew(2)	2 doses of Zamorak Brew.
192		
193	Zamorak brew(1)	1 dose of Zamorak Brew.
194		
195	Potion	This is meant to be good for spots.
196		
197	Poison chalice	A cup of a strange brew...
198		
199	Herb	I need a closer look to identify this.
200		
201	Herb	I need a closer look to identify this.
202		
203	Herb	I need a closer look to identify this.
204		
205	Herb	I need a closer look to identify this.
206		
207	Herb	I need a closer look to identify this.
208		
209	Herb	I need a closer look to identify this.
210		
211	Herb	I need a closer look to identify this.
212		
213	Herb	I need a closer look to identify this.
214		
215	Herb	I need a closer look to identify this.
216		
217	Herb	I need a closer look to identify this.
218		
219	Herb	I need a closer look to identify this.
220		
221	Eye of newt	It seems to be looking at me.
222		
223	Red spiders' eggs	Ewww!
224		
225	Limpwurt root	The root of a limpwurt plant.
226		
227	Vial of water	A glass vial containing water.
228		
229	Vial	An empty glass vial.
230		
231	Snape grass	Strange spiky grass.
232		
233	Pestle and mortar	I can grind things for potions in this.
234		
235	Unicorn horn dust	Finely ground horn of Unicorn.
236		
237	Unicorn horn	This horn has restorative properties.
238		
239	White berries	Sour berries, used in potions.
240		
241	Dragon scale dust	Finely ground scale of Dragon.
242		
243	Blue dragon scale	A large shiny scale.
244		
245	Wine of zamorak	An evil wine for an evil god.
246		
247	Jangerberries	They don't look very ripe.
248		
249	Guam leaf	A bitter green herb.
250		
251	Marrentill	A herb used in poison cures.
252		
253	Tarromin	A useful herb.
254		
255	Harralander	A useful herb.
256		
257	Ranarr weed	A useful herb.
258		
259	Irit leaf	A useful herb.
260		
261	Avantoe	A useful herb.
262		
263	Kwuarm	A powerful herb.
264		
265	Cadantine	A powerful herb.
266		
267	Dwarf weed	A powerful herb.
268		
269	Torstol	A powerful herb.
270		
271	Pressure gauge	It looks like part of a machine.
272	Fish food	Keeps your pet fish strong and healthy.
273	Poison	This stuff looks nasty.
274	Poisoned fish food	Doesn't seem very nice to the poor fishes.
275	Key	A slightly smelly key.
276	Rubber tube	It's slightly charred.
277	Oil can	It's pretty full.
278	Cattleprod	A sharp cattleprod.
279	Sheep feed	Councillor Halgrive gave me this to kill some sheep.
280	Sheep bones (1)	The suspicious-looking remains of a suspicious-looking sheep.
281	Sheep bones (2)	The suspicious-looking remains of a suspicious-looking sheep.
282	Sheep bones (3)	The suspicious-looking remains of a suspicious-looking sheep.
283	Sheep bones (4)	The suspicious-looking remains of a suspicious-looking sheep.
284	Plague jacket	This should protect me from the plague, I hope!
285	Plague trousers	These should protect me from the plague, I hope!
286	Orange goblin mail	Armour designed to fit goblins.
287	Blue goblin mail	Armour designed to fit goblins.
288	Goblin mail	Armour designed to fit goblins.
289		
290	Research package	This contains some vital research results.
291	Notes	It seems to be written in some kind of code.
292	Book on baxtorian	A book on elven history in northern RuneScape.
293	A key	This will unlock something.
294	Glarial's pebble	A small pebble with elven inscription.
295	Glarial's amulet	A bright green gem set in a necklace.
296	Glarial's urn	An urn containing Glarial's ashes.
297	Glarial's urn	An empty urn made for Glarial's ashes.
298	A key	This will unlock something.
299	Mithril seeds	Magical seeds in a mithril case.
300	Rat's tail	A bit of rat.
301	Lobster pot	Useful for catching lobsters.
302		
303	Small fishing net	Useful for catching small fish.
304		
305	Big fishing net	Useful for catching lots of fish.
306		
307	Fishing rod	Useful for catching sardine or herring.
308		
309	Fly fishing rod	Useful for catching salmon or trout.
310		
311	Harpoon	Useful for catching really big fish.
312		
313	Fishing bait	For use with a fishing rod.
314	Feather	Used for fly fishing.
315	Shrimps	Some nicely cooked fish.
316		
317	Raw shrimps	I should try cooking this.
318		
319	Anchovies	Some nicely cooked fish.
320		
321	Raw anchovies	I should try cooking this.
322		
323	Burnt fish	Oops!
324		
325	Sardine	Some nicely cooked fish.
326		
327	Raw sardine	I should try cooking this.
328		
329	Salmon	Some nicely cooked fish.
330		
331	Raw salmon	I should try cooking this.
332		
333	Trout	Some nicely cooked fish.
334		
335	Raw trout	I should try cooking this.
336		
337	Giant carp	Some nicely cooked fish.
338	Raw giant carp	I should try cooking this.
