ID	Name	Examine
0	Crate	I wonder what's inside.
1	Crate	I wonder what's inside.
2	Cave Entrance	Looks and smells like a place where goblins live.
3	Door	The door is closed.
4	Door	The door is closed.
5	Broken multicannon	A powerful ranging device, unfortunately not working.
6	Dwarf multicannon	A powerful ranging device that fires metal balls.
7	Cannon base	The cannon is built on here.
8	Cannon stand	The mounting for the multicannon.
9	Cannon base	The barrels of the multicannon.
10	Ladder	I can climb down this.
11	Ladder	I can climb up this.
12	Rock pile	A pile of rocks is blocking my path.
13	Mud pile	Mud caved in from above.
14	Railing	Intended to keep the goblins away from the mines.
15	Railing	Intended to keep the goblins away from the mines.
16	Railing	Intended to keep the goblins away from the mines.
17	Railing	Intended to keep the goblins away from the mines.
18	Railing	Intended to keep the goblins away from the mines.
19	Railing	Intended to keep the goblins away from the mines.
20	Railing	Intended to keep the goblins away from the mines.
21	Mysterious statue	Its eyes stare off into the distance...
22	Door	The door is shut.
23	Sacks	Unusually lumpy looking.
24	Door	The door is shut.
25	Clock spindle	Seems to be some kind of clock part.
26	Clock spindle	Seems to be some kind of clock part.
27	Clock spindle	Seems to be some kind of clock part.
28	Clock spindle	Seems to be some kind of clock part.
29	Clock spindle	Seems to be some kind of clock part.
30	Clock spindle	Seems to be some kind of clock part.
31	Clock spindle	Seems to be some kind of clock part.
32	Clock spindle	Seems to be some kind of clock part.
33	Lever	Yup, definitely a lever.
34	Lever	Yup, definitely a lever.
35	Lever	Yup, definitely a lever.
36	Lever	Yup, definitely a lever.
37	Gate	Stops people walking past.
38	Gate	Stops people walking past.
39	Gate	Stops people walking past.
40	Food trough	Animals have no table manners.
41	Wall Pipe	Looks like an outlet pipe to the lake.
42	Fishing spot	I can see fish swimming in the water.
43	Water	It seems to sparkle.
44	Fishing spot	I can see really big fish swimming in the water.
45	Fishing spot	Big Dave is fishing here.
46	Fishing spot	Joshua is fishing here.
47	Gate	A wooden gate.
48	Gate	A wooden gate.
49	Gate	A wooden gate.
50	Gate	A wooden gate.
51	Loose Railing	Hmmm... I wonder if it's loose enough to get through.
52	Gate	It's locked.
53	Gate	It's locked.
54	Stairs	It's a flight of stairs.
55	Stairs	It's a flight of stairs.
56	Stairs	It's a flight of stairs.
57	Stairs	It's a flight of stairs.
58	Vine	Known commonly as Red worm vine.
59	Door	A fancy hole in the wall.
60	Ladder	A fancy hole in the ceiling.
61	Chaos altar	A shrine to evil.
62	Giant crystal	Is there something in there?
63	Crate	Used for storage.
64	Crate	Used for storage.
65	Crate wall	Surprisingly sturdy looking.
66	Crate wall	Surprisingly sturdy looking.
67	Crate	Used for storage.
68	Beehive	Where bees live.
69	Gangplank	Handy for boarding boats.
70	Gangplank	Handy for boarding boats.
71	Large door	Sturdy looking door.
72	Large door	Sturdy looking door.
73	Large door	Securely fastened shut.
74	Large door	Securely fastened shut.
75	Chest	I wonder what's inside?
76	Chest	It's open.
77	Door	Securely fastened shut.
78	Door	Securely fastened shut.
79	Prison Door	Looks secure.
80	Prison Door	Looks secure.
81	Door	The door is closed.
82	Door	The door is closed.
83		
84		
85		
86	Lever bracket	Seems very old...
87	Lever	I guess you pull it...
88		
89	Gate	A wrought iron gate.
90	Gate	A wrought iron gate.
91	Lever	I don't like the look of this!
92	Door	The door is closed.
93	Door	The door is closed.
94	Gate	A wrought iron gate.
95	Gate	A wrought iron gate.
96	Stairs	A dark flight of stairs.
97		
98	Stairs	A dark flight of stairs.
99	Door	The door is closed.
100	Trapdoor	Don't you open that trapdoor!
101	Ladder	I can climb this.
102	Door	A sturdy door.
103	Closed chest	I wonder what's inside.
104	Open chest	Perhaps I should search it.
105	Trapdoor	I wonder what that's there for...
106	Trapdoor	I wonder what that's there for...
107		
108		
109		
110		
111		
112		
113		
114	Cooking range	An appliance for cooking with.
115	Party Balloon	A party balloon.
116	Party Balloon	A party balloon.
117	Party Balloon	A party balloon.
118	Party Balloon	A party balloon.
119	Party Balloon	A party balloon.
120	Party Balloon	A party balloon.
121	Party Balloon	Aren't they pretty?
122	Party Balloon	Paaaarty!
123	Party Balloon	A party balloon.
124	Party Balloon	A party balloon.
125	Party Balloon	A party balloon.
126	Party Balloon	A party balloon.
127	Party Balloon	A party balloon.
128	Party Balloon	A party balloon.
129	Party Balloon	A party balloon.
130	Party Balloon	A party balloon.
131	Door	The door is closed.
132	Ladder	An escape route.
133	Ladder	Looks spooky down there.
134	Large door	A large double door.
135	Large door	A large double door.
136	Door	The door is closed.
137		
138		
139		
140		
141		
142		
143		
144		
145		
146		
147		
148		
149		
150		
151		
152	Compost heap	Smelly.
153	Fountain	An ornate fountain.
154	Obstacle pipe	A pipe I can squeeze through.
155	Bookcase	Lots of books.
156	Bookcase	Lots of books.
157	Bookcase	Lots of books.
158	Wall	This wall looks odd...
159	Wall	This wall looks odd...
160	Lever	I wonder what this does...
161		
162	Strange machine	I'm not touching that.
163	Strange machine	I'm not touching that.
164	Strange machine	I'm not touching that.
165	Incinerator	A special furnace for destroying contaminated items.
166	Gate	A wooden gate.
167	Gate	A wooden gate.
168		
169		
170	Closed chest	I wonder what's inside.
171	Open chest	Perhaps I should search it.
172	Closed chest	I wonder what's inside.
173	Open chest	Perhaps I should search it.
174		
175		
176		
177		
178		
179		
180		
181		
182		
183		
184		
185		
186		
187	Gnome glider	Fly Gnome Air.
188	Crashed glider	Probably pilot error.
189	Blurberry bar	The Blurberry bar - cocktails extraordinaire!
190	Gate	A large gate in the gnome style.
191		
192		
193		
194	Hollowed rock	The entrance to the cave.
195	Ladder	I can climb this.
196		
197		
198		
199		
200	Lamp	A quirky gnome lamp.
201	Lamp	These insects love this light.
202	Candles	It's amazing what bees produce!
203	Candles	Posh candlesticks.
204	Candles	Posh candlesticks.
205		
206		
207		
208	Candles	Scary lighting apparatus.
209	Chandelier	An ornamental lighting fixture.
210	Ice Light	A mysterious glowing ice crystal.
211	Candles	It's amazing what bees produce!
212	Sail	Useful for making ships move.
213		
214		
215		
216		
217		
218	Sail	Useful for making ships move.
219		
220		
221	Figurehead	This figure brings luck to those who sail.
222	Figurehead	This figure brings luck to those who sail.
223		
224		
225	Sail	Useful for making ships move.
226	Sail	Useful for making ships move.
227	Pile of rope	Barnacle infested rope.
228		
229		
230		
231		
232		
233		
234		
235		
236		
237		
238		
239		
240		
241		
242		
243		
244		
245	Ship's ladder	Allows access to other parts of the ship.
246	Ship's ladder	Allows access to other parts of the ship.
247		
248		
249		
250		
251		
252	Ship's wheel	Without this I'm going around in circles.
253		
254	Figurehead	This figure brings luck to those who sail.
255	Winch	Used for pulling things up.
256		
257		
258		
259		
260	Figurehead	This figure brings luck to those who sail.
261		
262		
263		
264		
265	Sail	Useful if there is any wind.
266	Sail	Useful for making ships move.
267	Sail	Useful for making ships move.
268	Sail	Useful for making ships move
269		
270		
271	Anchor	How much does this weigh?
272	Ship's ladder	I can climb up here.
273	Ship's ladder	I can go below decks with this ladder.
